Id,Search Keyword,URL,Datetime,Tweet,Username,View Count,Reply Count,Retweet Count,Like Count,Quote Count,Language,Source,Coordinates,Place,Hashtags,Reply to User,Mentioned Users Count,Mentioned Users,User Verified
1630503770684784641,Pajak,https://twitter.com/boyyyy1100/status/1630503770684784641,2023-02-28 09:42:46+00:00,"@DitjenPajakRI Gamau bayar pajak apapun, minta tuh sama rafael &amp; pegawai yg blom lapor LHKPN 45RB PNS",boyyyy1100,,0,0,1,0,in,Twitter for Android,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630503767673290753,Pajak,https://twitter.com/zygotearmy/status/1630503767673290753,2023-02-28 09:42:46+00:00,@eclairedelange pajak rubicon chef arsa sm chef felix udah dibayar beloom kak???👀,zygotearmy,,0,0,0,0,in,Twitter for Android,,,,eclairedelange,1,['eclairedelange'],False
1630503702971940864,Pajak,https://twitter.com/denitian44/status/1630503702971940864,2023-02-28 09:42:30+00:00,@kurawa bu sri pasti pusing ngeliat anak anaknya jadi tolol dan suka hilaf. negara maju cuman mimpi di siang bolong. wkwk  @kring_pajak @DJPPRkemenkeu @DitjenPK,denitian44,,0,0,0,0,in,Twitter for Android,,,,kurawa,4,"['kurawa', 'kring_pajak', 'DJPPRkemenkeu', 'DitjenPK']",False
1630503676497514496,Pajak,https://twitter.com/Nga13159441/status/1630503676497514496,2023-02-28 09:42:24+00:00,"@DitjenPajakRI Klo pegawai pajak nyembunyin harta kena pajak 100jt aja, harta dirinya &amp; orang2 yg ngemplang pajak. kerugian negara Ud triliunan.. Ember bocor di isi Air terus, di tambal lem pun ngga bisa kering akan bocor lagi.",Nga13159441,,0,0,0,0,in,Twitter for Android,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630503673091727361,Pajak,https://twitter.com/ashabellaa/status/1630503673091727361,2023-02-28 09:42:23+00:00,@muthiaesfand @literarybase Buat beli rubicon pegawai pajak,ashabellaa,,0,0,0,0,in,Twitter for Android,,,,muthiaesfand,2,"['muthiaesfand', 'literarybase']",False
1630503663331598337,Pajak,https://twitter.com/eLganufa/status/1630503663331598337,2023-02-28 09:42:21+00:00,@otongkoil kerja bengkel motor harley ditjen pajak,eLganufa,,0,0,0,0,in,Twitter for Android,,,,otongkoil,1,['otongkoil'],False
1630503630146088961,Pajak,https://twitter.com/Pajak1971/status/1630503630146088961,2023-02-28 09:42:13+00:00,@PolsatNewsPL To klimat czy pogoda?,Pajak1971,,0,0,0,0,pl,Twitter for Android,,,,PolsatNewsPL,1,['PolsatNewsPL'],False
1630503614597959680,Pajak,https://twitter.com/qantiss/status/1630503614597959680,2023-02-28 09:42:09+00:00,"@DitjenPajakRI Untuk rakyat Indonesia, jangan lupa untuk selalu bayar pajak!!!
Uang pajak kalian untuk kesejahteraan semua pegawai pajak.
Rakyat miskin, pegawai pajak sejahtera.",qantiss,,0,0,0,0,in,Twitter for Android,,,,DitjenPajakRI,1,['DitjenPajakRI'],False
1630503607689953280,Pajak,https://twitter.com/jakartabali/status/1630503607689953280,2023-02-28 09:42:08+00:00,"@otongkoil Dirjen pajak kaots,enak bisa punya Harley dapitson",jakartabali,2.0,0,0,0,0,in,Twitter for Android,,,,otongkoil,1,['otongkoil'],False
1630503543621963776,Pajak,https://twitter.com/jhontax_co/status/1630503543621963776,2023-02-28 09:41:52+00:00,"ara pemula jangan minder dulu dong!
Kan ada kelas Jago Pajak untuk Pemula😍

Call Center 24 jam Nonstop :

📲 0859-4579-4545
📲 0813-5009-5007
Atau Via DM

Follow
TikTok : mr.pajak

Website :
https://t.co/oiNSAmflhC

#layanantax
#jhontax
#pajak
#perpajakan
#layananpajak https://t.co/c2AvQy1bqo",jhontax_co,1.0,0,0,0,0,in,Twitter for Android,,,"['layanantax', 'jhontax', 'pajak', 'perpajakan', 'layananpajak']",,0,,False
